epoch,train_loss,val_loss,lr
1,-0.0008737720618228195,0.001638922452305754,0.003
2,-0.0009036022368491103,0.0016464288346469402,0.003
3,-0.0009241035986633506,0.0016674068756401539,0.003
4,-0.0009415558568434789,0.001684685586951673,0.003
5,-0.0009588824679667596,0.0017034028035899003,0.0015
6,-0.0009731481957715004,0.0017127664759755135,0.0015
7,-0.0009812559772399254,0.0017222911507512133,0.0015
8,-0.0009894732938846573,0.0017317893992488582,0.0015
9,-0.0009974906592105982,0.00174139851393799,0.00075
10,-0.0010043907299404965,0.001746240770444274,0.00075
11,-0.0010083916000439785,0.0017511098800847928,0.00075
12,-0.0010123833133548032,0.0017559614886219304,0.00075
13,-0.0010163424973143264,0.0017608082465206583,0.000375
14,-0.0010197864357905928,0.0017632659679899614,0.000375
15,-0.001021801307797432,0.0017656896573801835,0.000375
16,-0.0010237928960123099,0.0017681147437542677,0.000375
17,-0.001025797582406085,0.001770541964409252,0.0001875
18,-0.0010275139567966108,0.0017717664983744423,0.0001875
19,-0.0010285230811859947,0.0017729827280466755,0.0001875
20,-0.0010295189742464573,0.0017742024113734562,0.0001875
21,-0.0010305214374966454,0.0017754125486438472,9.375e-05
22,-0.0010313750339264517,0.0017760269887124498,9.375e-05
23,-0.0010318815104255919,0.001776630951402088,9.375e-05
24,-0.0010323793525458314,0.0017772512510418892,9.375e-05
25,-0.0010328903481422458,0.0017778556017826002,4.6875e-05
26,-0.0010333190133678728,0.0017781625889862578,4.6875e-05
27,-0.0010335714767279569,0.0017784681792060535,4.6875e-05
28,-0.0010338212756323627,0.0017787728769083817,4.6875e-05
29,-0.0010340713553887327,0.0017790825416644414,2.34375e-05
30,-0.0010342878646042663,0.0017792353173717856,2.34375e-05
31,-0.0010344134512706659,0.0017793885587404172,2.34375e-05
32,-0.0010345394155592657,0.001779542149355014,2.34375e-05
33,-0.0010346656868932768,0.001779693877324462,1.171875e-05
34,-0.0010347741088480688,0.0017797704009960096,1.171875e-05
35,-0.001034837425686419,0.0017798468082522352,1.171875e-05
